83	Volume:83, Year:1872, WALLACE 16
87	Volume:87, Year:1875, WALLACE 20
88	Volume:88, WALLACE 21
23	Volume:23, Year:1825, WHEATON 10
63	Volume:63, Year:1859, HOWARD 22
22	Volume:22, Year:1824, WHEATON 9
21	Volume:21, Year:1823, WHEATON 8
20	Volume:20, Year:1822, WHEATON 7
16	Volume:16, Year:1818, WHEATON 3
19	Volume:19, Year:1821, WHEATON 6
18	Volume:18, Year:1820, WHEATON 5
15	Volume:15, Year:1817, WHEATON 2
13	Volume:13, Year:1815, CRANCH 9
14	Volume:14, Year:1816, WHEATON 1
10	Volume:10, Year:1810, CRANCH 6
9	Volume:9, Year:1809, CRANCH 5
8	Volume:8, CRANCH 4
1	Volume:1, DALLAS 1
12	Volume:12, Year:1814, CRANCH 8
11	Volume:11, Year:1812, CRANCH 7
443	Volume:443, Year:1978, October Term
421	Volume:421, Year:1974, October Term
460	Volume:460, Year:1982, October Term
426	Volume:426, Year:1975, October Term
469	Volume:469, Year:1984, October Term
423	Volume:423, Year:1975, October Term
428	Volume:428, Year:1975, October Term
397	Volume:397, Year:1969, October Term
481	Volume:481, Year:1986
482	Volume:482, Year:1986
123	Volume:123, Year:1887, October Term
489	Volume:489, Year:1988
417	Volume:417, Year:1973, October Term
392	Volume:392, Year:1967, October Term
486	Volume:486, Year:1987
487	Volume:487, Year:1987
488	Volume:488, Year:1988
507	Volume:507, Year:1997
508	Volume:508, Year:1997
509	Volume:509, Year:1997
355	Volume:355, Year:1957, October Term
483	Volume:483, Year:1986
456	Volume:456, Year:1981, October Term
36	Volume:36, Year:1846, PETERS 11
51	Volume:51, Year:1851, HOWARD 10
373	Volume:373, Year:1962, October Term
447	Volume:447, Year:1979, October Term
71	Volume:71, Year:1866, WALLACE 4
80	Volume:80, Year:1872, WALLACE 13
174	Volume:174, Year:1899, October Term
260	Volume:260, Year:1922, October Term
379	Volume:379, Year:1964, October Term
422	Volume:422, Year:1974, October Term
430	Volume:430, Year:1976, October Term
438	Volume:438, Year:1977, October Term
452	Volume:452, Year:1980, October Term
68	Volume:68, Year:1866, WALLACE 1
70	Volume:70, Year:1867, WALLACE 3
72	Volume:72, WALLACE 5
74	Volume:74, Year:1870, WALLACE 7
477	Volume:477, Year:1985, October Term
345	Volume:345, Year:1952, October Term
415	Volume:415, Year:1973, October Term
347	Volume:347, Year:1953, October Term
406	Volume:406, Year:1971, October Term
437	Volume:437, Year:1977, October Term
364	Volume:364, Year:1961, October Term
484	Volume:484, Year:1987
253	Volume:253, Year:1919, October Term
485	Volume:485, Year:1987
491	Volume:491, Year:1993
497	Volume:497, Year:1989
498	Volume:498, Year:1996
499	Volume:499, Year:1995
312	Volume:312, Year:1940, October Term
494	Volume:494, Year:1989
492	Volume:492, Year:1988
501	Volume:501, Year:1990
500	Volume:500, Year:1990
503	Volume:503, Year:1996
502	Volume:502, Year:1991
504	Volume:504, Year:1996
505	Volume:505, Year:1996
506	Volume:506, Year:1992
510	Volume:510, Year:1993
513	Volume:513, Year:1994
512	Volume:512, Year:1998
511	Volume:511, Year:1997
514	Volume:514, Year:1996
517	Volume:517, Year:1995
516	Volume:516, Year:1998
515	Volume:515, Year:1998
106	Volume:106, Year:1882, October Term
521	Volume:521, Year:2000
520	Volume:520, Year:1999
522	Volume:522, Year:1997
519	Volume:519, Year:1999
523	Volume:523, Year:2000
524	Volume:524, Year:2000
518	Volume:518, Year:1999
525	Volume:525, Year:1998
526	Volume:526, Year:2001
527	Volume:527, Year:2001
528	Volume:528, Year:2001
529	Volume:529, Year:1999
73	Volume:73, WALLACE 6
530	Volume:530, Year:1999
536	Volume:536, Year:2004
537	Volume:537, Year:2002
535	Volume:535, Year:2001
533	Volume:533, Year:2002
534	Volume:534, Year:2003
100	Volume:100, Year:1880, October Term
531	Volume:531, Year:2002
532	Volume:532, Year:2002
256	Volume:256, Year:1920, October Term
2	Volume:2, DALLAS 2
3	Volume:3, DALLAS 3
4	Volume:4, DALLAS 4
338	Volume:338, Year:1950, October Term
393	Volume:393, Year:1968, October Term
394	Volume:394, Year:1968, October Term
408	Volume:408, Year:1971, October Term
434	Volume:434, Year:1977, October Term
541	Volume:541, Year:2003, October Term
542	Volume:542, Year:2003, October Term
539	Volume:539, Year:2002
538	Volume:538, Year:2002
395	Volume:395, Year:1968, October Term
540	Volume:540, Year:2003, October Term
358	Volume:358, Year:1958, October Term
405	Volume:405, Year:1971
424	Volume:424, Year:1975, October Term
544	Volume:544, Year:2004, October Term
322	Volume:322, Year:1943, October Term
543	Volume:543, Year:2004, October Term
546	Volume:546, Year:2005, October Term
145	Volume:145, Year:1892, October Term
446	Volume:446, Year:1979, October Term
464	Volume:464, Year:1983, October Term
467	Volume:467, Year:1983, October Term
545	Volume:545, Year:2004, October Term
547	Volume:547, Year:2005
548	Volume:548, Year:2005, October Term
549	Volume:549, Year:2006, October Term
551	Volume:551, Year:2006
550	Volume:550, Year:2006, October Term
552	Volume:552, Year:2007, October Term
553	Volume:553, Year:2007, October Term
31	Volume:31, Year:1832, PETERS 6
32	Volume:32, Year:1833, PETERS 7
390	Volume:390, Year:1967, October Term
110	Volume:110, Year:1883, October Term
144	Volume:144, Year:1892, October Term
161	Volume:161, Year:1895, October Term
238	Volume:238, Year:1914, October Term
400	Volume:400, Year:1970, October Term
451	Volume:451, Year:1980, October Term
461	Volume:461, Year:1982, October Term
387	Volume:387, Year:1966, October Term
414	Volume:414, Year:1973, October Term
463	Volume:463, Year:1982, October Term
470	Volume:470, Year:1984, October Term
58	Volume:58, Year:1854, HOWARD 17
59	Volume:59, Year:1855, HOWARD 18
60	Volume:60, Year:1856, HOWARD 19
61	Volume:61, Year:1857, HOWARD 20
62	Volume:62, Year:1858, HOWARD 21
